label,area,architecture,time,pattern,introduction,introduction_details
31,内廷后三宫,乾清宫,明永乐十八年（1420），清嘉庆二年（1797）重建,三交六椀菱花,内廷正殿，明清皇帝寝宫 / 日常理政之所，窗棂为内廷最高等级,乾清宫是内廷的正殿，明清时期是皇帝的寝宫，也是日常召见臣僚、批阅奏章的理政之所。作为皇帝在后宫的居所，它集居住与办公功能于一体，是内廷最核心的权力空间。
32,内廷后三宫,交泰殿,明嘉靖年间始建，清嘉庆二年（1797）重建,三交六椀菱花,后三宫之中，皇后大典、接受朝贺之所，存放二十五宝玺故宫博物院,交泰殿位于后三宫的中心位置，主要功能是皇后在重大节日接受朝贺的场所。此外，殿内还存放着象征皇权的二十五宝玺，是皇后地位与国家印信管理的重要空间。
33,内廷后三宫,坤宁宫,明永乐十八年（1420），清顺治十二年（1655）重修,双交四椀菱花,皇后正宫，清代改为萨满祭祀场所，保留满族关外窗纸糊在外的形制故宫博物院,坤宁宫是内廷后三宫的末端，作为皇后的正宫，主要用于象征性礼仪。清代将其改建为满族萨满教祭祀场所，保留了关外习俗，是帝后大婚时的洞房及日常祭神的专用建筑。
34,内廷后三宫,养心殿,明嘉靖十六年（1537），清雍正年间大规模重修,"轱辘钱,步步锦",清代雍正后皇帝日常理政与寝宫，集政务、居住、祭祀功能于一体,养心殿始建于明嘉靖年间，自清雍正皇帝起成为主要的理政与寝宫。这里集政务处理、日常居住、宗教祭祀于一体，是清代中后期皇帝实际生活时间最长、政治活动最频繁的中心。
35,内廷后三宫,斋宫,清雍正九年（1731）,步步锦,东六宫之南，清代皇帝祭天祀地前进行斋戒的场所,故宫斋宫位于东六宫之南，是皇帝祭天祀地前斋戒的场所。始建于清雍正九年，采用“前朝后寝”布局，前殿悬乾隆御笔“敬天”匾，内有精美蟠龙藻井；后殿为诚肃殿。
41,内廷东六宫（妃嫔居所）,景仁宫,明永乐十八年（1420），明清多次修缮,"双交四椀菱花,正方格",东六宫之首，康熙皇帝出生地，光绪珍妃曾居于此,景仁宫是东六宫之首，历史上曾是康熙皇帝的出生地，也是光绪帝珍妃的居所。作为妃嫔居住的高等级院落，它见证了多位重要皇室成员的生活轨迹与历史变迁。
42,内廷东六宫（妃嫔居所）,钟粹宫,明永乐十八年（1420），明嘉靖十四年更名，清多次修缮,"冰裂纹,步步锦",明清妃嫔居所，咸丰皇帝幼年曾居于此,钟粹宫是明清两代妃嫔的居所，建筑格局严谨。历史上咸丰皇帝幼年时期曾在此居住，是后宫女性成员日常生活与休憩的典型院落，体现了内廷居住区的规制。
43,内廷东六宫（妃嫔居所）,承乾宫,明永乐十八年（1420），明清多次修缮,"双交四椀菱花,步步锦",明清贵妃居所，顺治董鄂妃曾居于此,承乾宫是明清时期贵妃的居所，顺治帝的宠妃董鄂妃曾长期居住于此。作为内廷东西六宫的重要组成部分，这里是等级较高的妃嫔生活空间，承载了后宫的日常起居功能。
44,内廷东六宫（妃嫔居所）,景阳宫,明永乐十八年（1420），清康熙二十五年（1686）重修,"双交四椀菱花,正方格",清代皇家藏书之所，东六宫最北侧建筑,景阳宫位于东六宫最北侧，历史上曾作为皇家藏书之所。与其它妃嫔居所不同，它更多承担了文化储藏的功能，是紫禁城内廷中一处具有浓厚书卷气息的建筑。
45,内廷东六宫（妃嫔居所）,永和宫,明永乐十八年（1420），清康熙二十五年（1686）重修,"步步锦,万字纹",明清妃嫔居所，光绪隆裕皇后曾居于此,永和宫是明清妃嫔的居所之一，光绪帝的隆裕皇后曾在此居住。作为东西六宫的组成部分，它按照标准的四合院格局建造，是后宫嫔妃日常生活与休憩的典型空间。
46,内廷东六宫（妃嫔居所）,延禧宫,明永乐十八年（1420），清宣统元年（1909）改建灵沼轩,"双交四椀菱花,步步锦",明清妃嫔居所，清末火毁后改建为西洋水殿，为故宫唯一西洋式建筑,延禧宫是明清妃嫔的居所，但在清末遭遇火灾焚毁。后改建为西洋风格的水殿“灵沼轩”，虽未完工，却成为故宫内唯一的西洋式建筑，见证了晚清宫廷建筑风格的变迁。
51,内廷西六宫（妃嫔居所）,翊坤宫,明永乐十八年（1420），明嘉靖十四年更名，清多次修缮,"步步锦,万字纹",明清妃嫔居所，慈禧太后曾居于此，清末与储秀宫打通形成四进院,翊坤宫是明清妃嫔的居所，慈禧太后在晋升为太后前曾长期居住于此。清末为方便通行，曾将其与储秀宫打通，形成规模宏大的四进院落，是西六宫中保存较为完整的建筑之一。
52,内廷西六宫（妃嫔居所）,储秀宫,明永乐十八年（1420），清顺治十二年（1655）重修,步步锦,慈禧太后长期居所，同治皇帝出生于此,储秀宫是明清妃嫔的居所，慈禧太后在生下同治皇帝后长期居住于此。作为她生活时间最长的宫殿，这里见证了慈禧从妃嫔到太后的权力上升过程，内部陈设极为奢华。
53,内廷西六宫（妃嫔居所）,永寿宫,明永乐十八年（1420），清顺治十二年（1655）重修,双交四椀菱花 ,明清妃嫔居所，曾作为乾隆孝贤皇后居所、慈禧太后六十大寿贺礼处所,永寿宫是明清妃嫔的居所，曾作为乾隆帝孝贤皇后的居所，后来也成为慈禧太后六十大寿接受贺礼的场所。它位于西六宫核心区域，是后宫举行庆典与居住的重要空间。
54,内廷西六宫（妃嫔居所）,长春宫,明永乐十八年（1420），清康熙二十二年（1683）重修,"步步锦,万字纹",明清妃嫔居所，慈禧太后、乾隆孝贤皇后曾居于此,长春宫是明清妃嫔的居所，历史上慈禧太后和乾隆帝的孝贤皇后都曾居住于此。殿内保留了精美的苏式彩画，是西六宫中具有代表性的后妃生活院落。
55,内廷西六宫（妃嫔居所）,咸福宫,明永乐十八年（1420），清康熙二十二年（1683）重修,"双交四椀菱花,步步锦",明清妃嫔居所，乾隆皇帝、嘉庆皇帝曾居于此,咸福宫是明清妃嫔的居所，历史上曾作为乾隆皇帝和嘉庆皇帝在潜邸时期的居所。它不仅供后妃居住，也曾是皇子皇孙接受教育与生活的重要场所。
56,内廷西六宫（妃嫔居所）,启祥宫,明永乐十八年（1420），明嘉靖十四年更名，清多次修缮,"步步锦,",明清妃嫔居所，清末与长春宫打通，慈禧太后曾居于此,启祥宫是明清妃嫔的居所，清末与长春宫打通相连。历史上慈禧太后也曾短暂居住于此，是西六宫中布局灵活、功能随时代变迁而调整的典型妃嫔居住院落。
61,太后 / 太妃宫区,慈宁宫,明嘉靖十五年（1536），万历年间重建，清顺治十年（1653）重修,双交四椀菱花,太皇太后、皇太后居所，孝庄文皇后曾居于此故宫博物院,慈宁宫是明清两代太皇太后、皇太后的居所，孝庄文皇后曾长期居住于此。作为太后宫区的核心建筑，这里是举办皇太后寿辰庆典及日常礼佛的重要场所。
62,太后 / 太妃宫区,寿康宫,清雍正十三年（1735）始建，乾隆元年（1736）建成,三交六椀菱花,皇太后居所，乾隆生母孝圣宪皇后（甄嬛原型）长期居所,寿康宫是清代皇太后的居所，乾隆皇帝的生母孝圣宪皇后长期居住于此。作为太后养老的主殿，这里设施完备，是清代宫廷奉行孝道与尊养长辈的象征性建筑。
63,太后 / 太妃宫区,寿安宫,明永乐十八年（1420），清乾隆十六年（1751）改建,"双交四椀菱花,步步锦",太妃、太嫔居所，乾隆为母亲孝圣宪皇后六十大寿改建,寿安宫是明清太妃、太嫔的居所，乾隆皇帝为庆祝母亲孝圣宪皇后六十大寿曾对其进行大规模改建。这里不仅是长辈养老之地，也是宫廷举办祝寿庆典与演剧的场所。
64,太后 / 太妃宫区,临溪亭,明万历十一年（1583）始建，清多次修缮,斜方格,御花园内临水建筑，皇家赏花观鱼之所,临溪亭位于故宫慈宁宫花园中部，初名临溪馆。亭子坐落于矩形水池的单孔石桥上，东西临水，南北设阶。它是皇太后、太妃们赏花观鱼、游憩休憩的绝佳场所，亭内天花绘有蟠龙藻井，寓意“玉堂富贵”。
71,宁寿宫区（乾隆太上皇宫殿区）,皇极殿,清康熙二十八年（1689）始建，乾隆三十七年（1772）重建,三交六椀菱花,宁寿宫区正殿，乾隆归政后举办典礼之所，仿太和殿形制建造,皇极殿是宁寿宫区的正殿，仿照太和殿形制建造，主要用于乾隆皇帝归政后举办万寿节等大型典礼。作为太上皇宫殿区的核心，它象征着退位皇帝依然享有的尊崇地位。
72,宁寿宫区（乾隆太上皇宫殿区）,宁寿宫,清康熙二十八年（1689）始建，乾隆三十七年（1772）重建,双交四椀菱花,仿坤宁宫形制，清代萨满祭祀之所，乾隆归政后寝宫故宫博物院,宁寿宫位于宁寿宫区，仿照坤宁宫形制建造，是清代萨满教祭祀的专用场所。同时，它也是乾隆皇帝退位后作为太上皇的寝宫，兼具宗教祭祀与生活居住双重功能。
73,宁寿宫区（乾隆太上皇宫殿区）,倦勤斋,清乾隆三十七年（1772）始建，乾隆四十一年（1776）建成,步步锦,乾隆太上皇休憩之所，故宫内装饰最奢华的建筑之一,倦勤斋是乾隆皇帝作为太上皇休憩的场所，位于宁寿宫花园最北端。这里以精美的竹丝镶嵌、双面绣和通景画装饰闻名，是故宫内装修最为奢华、最具文人意趣的建筑之一。
74,宁寿宫区（乾隆太上皇宫殿区）,萃赏楼,清乾隆三十七年（1772）始建,步步锦,宁寿宫花园（乾隆花园）核心建筑，乾隆藏书赏玩之所故宫博物院,萃赏楼位于宁寿宫花园内，是乾隆皇帝藏书赏玩之所。作为太上皇宫殿区的园林建筑，它主要用于收藏珍籍、鉴赏文物，体现了乾隆皇帝高雅的艺术品味与休闲生活方式。
75,宁寿宫区（乾隆太上皇宫殿区）,符望阁,清乾隆三十七年（1772）始建，乾隆四十一年（1776）建成,双交四椀菱花,宁寿宫花园最高大建筑，室内装修以漆纱、掐丝珐琅为特色，俗称 “迷楼”,符望阁是宁寿宫花园中最高的建筑，因其复杂的室内装修布局被称为“迷楼”。它主要用于收藏珍宝与休憩赏景，是乾隆皇帝晚年寄托归隐情怀、享受园林之乐的重要场所。
76,宁寿宫区（乾隆太上皇宫殿区）,阅是楼,清乾隆三十七年（1772）始建，清光绪十七年（1891）重修,步步锦,宁寿宫区畅音阁对面，皇家观戏楼故宫博物院故宫博物院,阅是楼位于宁寿宫区，正对畅音阁大戏台。它是皇室成员观看戏曲演出的观戏楼，主要用于举办大型宫廷戏剧演出，是清代宫廷娱乐生活的重要组成部分。
80,御花园及园林建筑,万春亭,明嘉靖十五年（1536）始建，清多次修缮,三交六椀菱花,御花园内对称建造的标志性建筑,万春亭位于御花园内，与千秋亭对称建造，是御花园的标志性景观建筑。作为皇帝后妃休憩赏景的亭阁，它不仅造型优美，也寓意着长寿与吉祥。
81,御花园及园林建筑,千秋亭,明嘉靖十五年（1536）始建，清多次修缮,三交六椀菱花,御花园内对称建造的标志性建筑，与万春亭造型完全一致，仅彩画有细微差别,千秋亭位于御花园内，与万春亭造型一致，仅彩画细节略有不同。它是皇家后妃在节日庆典时登临赏景、祈求福祉的场所，体现了御花园建筑的对称之美。
82,御花园及园林建筑,绛雪轩,明永乐十八年（1420），清多次修缮,万字纹,御花园东侧建筑，乾隆御题 “绛雪轩”，为皇家赏景休憩之所,绛雪轩位于御花园东侧，是乾隆皇帝御题的休憩建筑。作为皇家园林中的点景建筑，它主要用于帝后赏花观景，轩前曾植名贵海棠，落花似雪而得名。
84,御花园及园林建筑,养性斋,明永乐十八年（1420），清嘉庆十九年（1814）改建,"冰裂纹,步步锦",御花园西侧建筑，清末溥仪英文老师庄士敦曾居于此,养性斋位于御花园西侧，是一座精巧的两层楼阁。清末溥仪的英文老师庄士敦曾居住于此，是宫廷中西文化交流的一个见证，也是帝后赏景休憩的雅致空间。
86,御花园及园林建筑,延晖阁,明永乐十八年（1420）,灯笼框,御花园西北隅的休憩楼阁，清代选秀女时的阅选场所,延晖阁位于御花园西北隅，是一座清幽的休憩楼阁。清代曾作为选秀女时的阅选场所，也是帝后登高远眺、欣赏园景的佳处，环境清雅宜人。
